event,event_note,base_quarter,k_quarters_after,quarter,gbp_usd,sterling_eri,boki_gbp_million,hbop_gbp_million,gbp_usd_chg_vs_base_pct,sterling_eri_chg_vs_base_pct,boki_chg_vs_base_gbpmn,hbop_chg_vs_base_gbpmn
2008Q4_GFC_Sterling_low,글로벌 금융위기 파운드 급락 직후,2008Q4,0,2008Q4,1.574217,84.195239,-23033,-16236,0.0000,0.0000,0,0
2008Q4_GFC_Sterling_low,글로벌 금융위기 파운드 급락 직후,2008Q4,1,2009Q1,1.434176,77.844905,-22856,-15562,-8.8959,-7.5424,177,674
2008Q4_GFC_Sterling_low,글로벌 금융위기 파운드 급락 직후,2008Q4,2,2009Q2,1.553274,81.411231,-22212,-14828,-1.3304,-3.3066,821,1408
2008Q4_GFC_Sterling_low,글로벌 금융위기 파운드 급락 직후,2008Q4,3,2009Q3,1.640638,82.924335,-22242,-8802,4.2193,-1.5095,791,7434
2008Q4_GFC_Sterling_low,글로벌 금융위기 파운드 급락 직후,2008Q4,4,2009Q4,1.634262,80.366514,-21657,-8423,3.8143,-4.5474,1376,7813
2008Q4_GFC_Sterling_low,글로벌 금융위기 파운드 급락 직후,2008Q4,5,2010Q1,1.558351,79.522654,-22475,-9721,-1.0079,-5.5497,558,6515
2008Q4_GFC_Sterling_low,글로벌 금융위기 파운드 급락 직후,2008Q4,6,2010Q2,1.490923,79.940611,-23555,-9100,-5.2911,-5.0533,-522,7136
2008Q4_GFC_Sterling_low,글로벌 금융위기 파운드 급락 직후,2008Q4,7,2010Q3,1.551003,81.754555,-26431,-13268,-1.4746,-2.8988,-3398,2968
2008Q4_GFC_Sterling_low,글로벌 금융위기 파운드 급락 직후,2008Q4,8,2010Q4,1.581102,80.338019,-26760,-12416,0.4374,-4.5813,-3727,3820
2009Q1_GFC_continuation,GFC 직후 약세 연장,2009Q1,0,2009Q1,1.434176,77.844905,-22856,-15562,0.0000,0.0000,0,0
2009Q1_GFC_continuation,GFC 직후 약세 연장,2009Q1,1,2009Q2,1.553274,81.411231,-22212,-14828,8.3043,4.5813,644,734
2009Q1_GFC_continuation,GFC 직후 약세 연장,2009Q1,2,2009Q3,1.640638,82.924335,-22242,-8802,14.3959,6.5251,614,6760
2009Q1_GFC_continuation,GFC 직후 약세 연장,2009Q1,3,2009Q4,1.634262,80.366514,-21657,-8423,13.9513,3.2393,1199,7139
2009Q1_GFC_continuation,GFC 직후 약세 연장,2009Q1,4,2010Q1,1.558351,79.522654,-22475,-9721,8.6583,2.1552,381,5841
2009Q1_GFC_continuation,GFC 직후 약세 연장,2009Q1,5,2010Q2,1.490923,79.940611,-23555,-9100,3.9568,2.6922,-699,6462
2009Q1_GFC_continuation,GFC 직후 약세 연장,2009Q1,6,2010Q3,1.551003,81.754555,-26431,-13268,8.1459,5.0224,-3575,2294
2009Q1_GFC_continuation,GFC 직후 약세 연장,2009Q1,7,2010Q4,1.581102,80.338019,-26760,-12416,10.2446,3.2027,-3904,3146
2009Q1_GFC_continuation,GFC 직후 약세 연장,2009Q1,8,2011Q1,1.603437,80.830010,-20881,-3302,11.8020,3.8347,1975,12260
2016Q3_Brexit_referendum,Brexit 국민투표 직후,2016Q3,0,2016Q3,1.312742,78.854865,-38908,-32707,0.0000,0.0000,0,0
2016Q3_Brexit_referendum,Brexit 국민투표 직후,2016Q3,1,2016Q4,1.241510,76.596946,-32271,-19315,-5.4262,-2.8634,6637,13392
2016Q3_Brexit_referendum,Brexit 국민투표 직후,2016Q3,2,2017Q1,1.239325,77.048017,-32842,-15445,-5.5926,-2.2914,6066,17262
2016Q3_Brexit_referendum,Brexit 국민투표 직후,2016Q3,3,2017Q2,1.280669,77.955226,-33602,-22652,-2.4432,-1.1409,5306,10055
2016Q3_Brexit_referendum,Brexit 국민투표 직후,2016Q3,4,2017Q3,1.308897,76.575108,-35703,-17213,-0.2929,-2.8911,3205,15494
2016Q3_Brexit_referendum,Brexit 국민투표 직후,2016Q3,5,2017Q4,1.326651,77.698641,-32779,-15565,1.0595,-1.4663,6129,17142
2016Q3_Brexit_referendum,Brexit 국민투표 직후,2016Q3,6,2018Q1,1.391868,79.037225,-32762,-20949,6.0275,0.2313,6146,11758
2016Q3_Brexit_referendum,Brexit 국민투표 직후,2016Q3,7,2018Q2,1.360247,79.103579,-31570,-16834,3.6188,0.3154,7338,15873
2016Q3_Brexit_referendum,Brexit 국민투표 직후,2016Q3,8,2018Q3,1.303619,77.825405,-32022,-18810,-0.6950,-1.3055,6886,13897
2020Q1_COVID_shock,팬데믹 충격기,2020Q1,0,2020Q1,1.279241,79.208819,-28386,-12605,0.0000,0.0000,0,0
2020Q1_COVID_shock,팬데믹 충격기,2020Q1,1,2020Q2,1.241751,77.398149,-11364,-8224,-2.9306,-2.2859,17022,4381
2020Q1_COVID_shock,팬데믹 충격기,2020Q1,2,2020Q3,1.291446,77.427469,-31267,-9335,0.9541,-2.2489,-2881,3270
2020Q1_COVID_shock,팬데믹 충격기,2020Q1,3,2020Q4,1.320437,77.932106,-46650,-27636,3.2203,-1.6118,-18264,-15031
2020Q1_COVID_shock,팬데믹 충격기,2020Q1,4,2021Q1,1.379081,80.507138,-39644,-3355,7.8046,1.6391,-11258,9250
2020Q1_COVID_shock,팬데믹 충격기,2020Q1,5,2021Q2,1.398662,81.777707,-31590,5008,9.3353,3.2432,-3204,17613
2020Q1_COVID_shock,팬데믹 충격기,2020Q1,6,2021Q3,1.377912,81.777666,-43583,-15561,7.7132,3.2431,-15197,-2956
2020Q1_COVID_shock,팬데믹 충격기,2020Q1,7,2021Q4,1.348083,81.604062,-37031,-3652,5.3815,3.0240,-8645,8953
2020Q1_COVID_shock,팬데믹 충격기,2020Q1,8,2022Q1,1.341197,82.334108,-62147,-36480,4.8432,3.9456,-33761,-23875
2022Q3_MiniBudget,Mini-budget 사상 최저,2022Q3,0,2022Q3,1.177497,78.193150,-39412,-2431,0.0000,0.0000,0,0
2022Q3_MiniBudget,Mini-budget 사상 최저,2022Q3,1,2022Q4,1.173811,78.098516,-36213,5258,-0.3130,-0.1210,3199,7689
2022Q3_MiniBudget,Mini-budget 사상 최저,2022Q3,2,2023Q1,1.215170,78.177650,-49549,-19791,3.1994,-0.0198,-10137,-17360
2022Q3_MiniBudget,Mini-budget 사상 최저,2022Q3,3,2023Q2,1.252452,80.515928,-48900,-34682,6.3656,2.9706,-9488,-32251
2022Q3_MiniBudget,Mini-budget 사상 최저,2022Q3,4,2023Q3,1.265973,82.201114,-44840,-15739,7.5139,5.1257,-5428,-13308
2022Q3_MiniBudget,Mini-budget 사상 최저,2022Q3,5,2023Q4,1.240546,81.162871,-48847,-28045,5.3545,3.7979,-9435,-25614
2022Q3_MiniBudget,Mini-budget 사상 최저,2022Q3,6,2024Q1,1.267952,82.578902,-44126,-20844,7.6820,5.6089,-4714,-18413
2022Q3_MiniBudget,Mini-budget 사상 최저,2022Q3,7,2024Q2,1.261739,82.947861,-58111,-23332,7.1543,6.0807,-18699,-20901
2022Q3_MiniBudget,Mini-budget 사상 최저,2022Q3,8,2024Q3,1.300017,84.298431,-45751,-13894,10.4051,7.8079,-6339,-11463
